sentence_column_name|tag_column_name
Finska flygbolaget Finnair inleder de tillfälliga uppsägningarna av kabinpersonal i februari X.|0
Motsvarande ökning av aktiekapitalet, totalt X,X euro, registrerades i det finska handelsregistret den X maj X.|1
Under det tredje kvartalet av räkenskapsåret X svängde Efore till en nettoförlust på X X EUR jämfört med en nettovinst på X X EUR för motsvarande period X .|0
ALEXANDRIA , Virginia , X oktober -- Aaron Moss från Hampshire , Storbritannien , har utvecklat en dekorativ design för en telefon , meddelade US Patent &amp; Trademark Office .|1
Vaisala Oyj Börsmeddelande X.X.X klo X.X X ( X ) Årsstämman i Vaisala Oyj beslutade den X mars X att godkänna bolagets årsredovisning för X .|1
Produktens framkantsvikning maximerar vädertålighet och möjliggör en sömlös takfinish.|1
Raute är noterat på den nordiska börsen i Helsingfors .|1
KESKO FOOD AB PRESSMEDDELANDE X.X.X KL X.X Kesko Livs Ab inleder en stor TV-kampanj för att rekrytera så många som hundra nya K-mathandlare.|2
W+Ærtsil+Æs mål är att betjäna det snabbt växande antalet fartyg och ökande marina aktivitet i Barentshavsregionen.|1
En liten url-länk tar användare till en bedrägeriwebbplats som lovar att användare kan tjäna tusentals dollar genom att bli en Google (NASDAQ:GOOG) Cash-annonsör.|0
Vinst per aktie EPS steg till X,X EUR från X,X EUR.|2
Det svenska utköpsföretaget har sålt sin återstående andel på X,X procent, nästan arton månader efter att ha noterat företaget i Finland.|1
ALEXANDRIA, Va., X mars – Jaakko Vilo från Åbo, Finland, har utvecklat en panelpress.|1
Sedan registreringen av de aktier som tecknats i en riktad nyemission uppgår det nya antalet Panostaja-aktier och rösträtter till X X X stycken.|1
En mask som aktiveras fredag kommer att korrumpera dokument med de vanligaste filtyperna, inklusive &#X;&#X;.|1
Finska Metso Paper har tilldelats ett kontrakt för återuppbyggnaden av Sabah Forest Industries (SFI) massabruk i Sabah, Malaysia.|2
Stora kommer att publicera sina resultat för fjärde kvartalet och X för helåret den X februari.|1
Kropp Krediten förfaller den X februari X .|1
Ändringen kommer inte att medföra ytterligare kostnader.|1
